Nome,Marca,EAN,Preço sem desconto,Preço no pix,Valor do desconto,Porcentagem desconto,Preço com Desconto
"Rubia 0,075Mg, Caixa Com 28 Comprimidos Revestidos",Aché,7896658034770,37.53,"R$ 29,85 ",6.76,18% ,30.770000000000003
Primera 30 63 Comprimidos,Não especificada,7891317177683,87.65,"R$ 63,77 ",21.91,25% ,65.74000000000001
Desogestrel 150mcg + Etinilestradiol 20mcg 21 Comprimidos,Biosintética - Aché,7898574611387,28.76,"R$ 17,30 ",10.93,38% ,17.830000000000002
"Hora H Uno 1,5Mg, Caixa Com 1 Comprimido",Aché,7898907312646,22.96,"R$ 18,93 ",3.44,15% ,19.52
"Mesigyna 50Mg Ml + 5Mg Ml, Caixa Com Ampola De 1Ml De Solucao De Uso Intramuscular",Bayer,7891106911337,46.82,"R$ 37,24 ",8.43,18% ,38.39
Adoless 28 Comprimidos,Farmoquímica,7898040320683,50.44,"R$ 40,12 ",9.08,18% ,41.36
"Drospirenona + Etinilestradiol 3Mg + 0,03Mg Ems 21 Comprimidos",EMS,7896004734392,54.68,"R$ 32,88 ",20.78,38% ,33.9
"Poslov 1,5mg Cifarma 1 Comprimido",Não especificada,7908020503125,15.87,"R$ 9,18 ",6.41,40% ,9.459999999999999
"Molieri 20 Sem Parar 3mg 0,02mg 30 comprimidos",Não especificada,7891317023362,71.2,"R$ 62,16 ",7.12,10% ,64.08
Tantin 3 x 28 Comprimidos,Não especificada,7896112423294,87.28,"R$ 69,42 ",15.71,18% ,71.57
"Mercilon 0,15Mg + 0,02Mg, Caixa Com 21 Comprimidos",Organon,7897337716307,63.11,"R$ 45,91 ",15.78,25% ,47.33
"Femiane gestodeno 0,075mg + etinilestradiol 0,02mg 63 drágeas",Não especificada,7896006297369,132.65,"R$ 105,51 ",23.88,18% ,108.77000000000001
Primera 20mg 63 Comprimidos,Eurofarma,7891317177652,91.14,"R$ 72,49 ",16.41,18% ,74.73
Femina 150 + 20Mcg Caixa Com 21 Comprimidos,Aché,7896658006401,43.23,"R$ 34,39 ",7.78,18% ,35.449999999999996
"Amora 2Mg+0,03Mg Com 63 Comprimidos",Não especificada,7891317004057,128.84,"R$ 102,48 ",23.19,18% ,105.65
"Elani Ciclo 3 + 0,03Mg, Caixa Com 21 Comprimidos Revestidos",Libbs,7896094202900,69.98,"R$ 55,66 ",12.6,18% ,57.38
Primera 30mg 21 Comprimidos Eurofarma,Eurofarma,7891317177676,43.37,"R$ 34,49 ",7.81,18% ,35.559999999999995
"Drospirenona + Etinilestradiol Althaia 3Mg + 0,02Mg, Caixa Com 24 Comprimidos Revestidos",Althaia,7898945030427,51.86,"R$ 43,77 ",6.74,13% ,45.12
"Previane 0,075Mg + 0,02Mg, Caixa Com 21 Comprimidos Revestidos",Legrand,7896004707846,40.94,"R$ 22,64 ",17.6,43% ,23.339999999999996
"Tamisa 30 0,75 + 0,30Mg, Caixa Com 28 Comprimidos Revestidos",Não especificada,7891317009748,49.77,"R$ 39,59 ",8.96,18% ,40.81
Niki 72 Comprimidos,Não especificada,7894916510288,180.11,"R$ 165,97 ",9.01,5% ,171.10000000000002
Ferane 35 63 Comprimidos,Cifarma,7908020502647,90.52,"R$ 58,22 ",30.5,34% ,60.019999999999996
"Feminique Conti Drospirenona 3mg + Etinilestradiol 0,03mg 28 3 0,03MG COMR BLX28",Não especificada,7896658040221,63.14,"R$ 52,06 ",9.47,15% ,53.67
Demedrox 150mg mL Suspensão Injetável Seringa Preenchida 1mL,Não especificada,7896006206781,51.5,"R$ 49,96 ",0.0,0% ,51.5
Rivaroxabana 20mg EMS com 30 Comprimidos,Não especificada,7891317018795,141.88,"R$ 100,36 ",38.42,27% ,103.46
Vacina Gripe Tetravalente Fluarix,Não especificada,EAN não informado,80.41,"R$ 72,75 ",5.41,7% ,75.0
"Juliet 0,075mg 28 Comprimidos",Sandoz,7897595620385,51.18,51.18,9.21,18% ,41.97
"Acetato de clormadinona 2mg + Etinilestradiol 0,03mg 21 Comprimidos - Eurofarma",Não especificada,7891317154721,39.73,39.73,11.12,28% ,28.61
Mínima 24 Comprimidos+4 Comprimidos Inertes,Medley,7896422507547,52.97,52.97,9.53,18% ,43.44
"Desogestrel 0,075 Mg 84 Comprimidos Mel",Não especificada,7898574611288,59.51,59.51,13.69,23% ,45.82
"Allestra 20 0,075mg + 0,020mg, caixa com 63 drágeas",Aché,7896658005046,82.01,82.01,19.68,24% ,62.330000000000005
"Rivaroxabana 20Mg Germed, Caixa Com 30 Comprimidos Revestidos",Germed Pharma,7896004759296,230.59,230.59,168.33,73% ,62.25999999999999
Rivaroxabana 20mg 30 Comprimidos EMS Genérico,EMS,7896004780511,230.59,230.59,168.33,73% ,62.25999999999999
"Exelring Etonogestrel 0,120mg + Etinilestradiol 0,015mg 1 Sachê Com 1 Anel Vaginal",Não especificada,7908134200620,87.09,87.09,23.59,27% ,63.5
"Drospirenona 3mg + Etinilestradiol 0,03mg 63 Comprimidos Legrand Genérico",Legrand,7894916148252,128.92,128.92,61.88,48% ,67.03999999999999
Rivaroxabana 15mg Cimed 30 Comprimidos Revestidos,Cimed,7896523201122,219.05,219.05,170.86,78% ,48.19
Rivaxa Rivaroxabana 20mg 30 Comprimidos,Não especificada,7891317017729,45.77,"R$ 44,40 ",0.0,0% ,45.77
Rivaxa Rivaroxabana 10mg 30 Comprimidos,Não especificada,7891317017699,46.62,"R$ 45,22 ",0.0,0% ,46.62
Rivaroxabana 20mg 14 Comprimidos EMS Genérico,Germed Pharma,7896004779430,115.27,"R$ 33,54 ",80.69,70% ,34.58
Molieri 30 Sem Parar 28 comprimidos,Não especificada,7891317020392,71.2,"R$ 62,16 ",7.12,10% ,64.08
"Tamisa 30 0,75 + 0,30Mg, Caixa Com 84 Comprimidos Revestidos",Não especificada,7891317009755,121.48,"R$ 102,52 ",15.79,13% ,105.69
"Levonorgestrel 0,15mg+ Etinilestradiol 0,03mg 63 comprimidos Biolab Genérico",Não especificada,7896112403173,22.42,"R$ 16,74 ",5.16,23% ,17.26
Niki com 24 comprimidos ativos + 4 inativos,EMS Sigma Pharma,7894916510554,81.75,"R$ 75,33 ",4.09,5% ,77.66
Rivacrist 10mg 30 comprimidos,Não especificada,7891158105814,160.14,"R$ 147,57 ",8.01,5% ,152.13
