Nome,Marca,EAN,Preço,Preço com desconto,Valor do desconto,Porcentagem de desconto
Orlipid 120mg com 42 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508285,237.99,202.29,35.70000000000002,15.0
Orlipid 120mg com 84 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508292,380.75,323.64,57.110000000000014,15.0
Micropil com 63 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7896004754123,82.63,63.44,19.189999999999998,23.2
"Brasart HCTt 320 + 12,5mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916509084,97.01,74.55,22.460000000000008,23.2
Penvir 500mg com 21 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916500371,676.1,543.1,133.0,19.7
Cymbi 60mg com 60 Cápsulas - Sigma Pharma,SIGMA PHARMA RX,7894916512008,349.04,296.68,52.360000000000014,15.0
Somalgin Cardio 100mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512022,49.68,36.9,12.780000000000001,25.7
Cymbi 30mg com 60 Cápsulas - Sigma Pharma,SIGMA PHARMA RX,7894916512015,185.54,157.71,27.829999999999984,15.0
Imense 100mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512442,156.45,132.98,23.47,15.0
Imense 50mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512466,142.11,120.79,21.320000000000007,15.0
"Brasart HCT 160 + 12,5mg com 90 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916512480,212.91,164.46,48.44999999999999,22.8
Niki com 28 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916510554,81.74,69.48,12.259999999999991,15.0
"Concardio 2,5mg com 100 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916512510,230.73,230.73,0.0,0.0
Risedross 150mg com 1 Comprimido - Sigma Pharma,SIGMA PHARMA RX,7894916512565,210.46,143.56,66.9,31.8
Impere 5mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512718,152.22,114.98,37.239999999999995,24.5
Concardio 5mg com 100 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512503,252.2,252.2,0.0,0.0
Impere 10mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512725,182.45,140.71,41.73999999999998,22.9
Bupium XL 150mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513173,231.55,196.82,34.73000000000002,15.0
Bupium XL 150mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513166,144.7,123.0,21.69999999999999,15.0
Imense 100mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513029,250.29,212.75,37.53999999999999,15.0
Bramicar 80mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508940,105.05,77.13,27.92,26.6
Bramicar 40mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508933,105.05,79.28,25.769999999999996,24.5
Neovangy MR 35mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513326,140.03,103.87,36.16,25.8
Bupium XL 300mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513197,291.13,247.46,43.66999999999999,15.0
Nivux 100mg + 20mg 2BL com 12 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513661,71.28,53.2,18.08,25.4
Neovangy 35mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513302,77.6,58.39,19.209999999999994,24.8
Somalgin Cardio 81 com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512107,32.11,23.51,8.599999999999998,26.8
Restitue 40mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512923,75.34,57.84,17.5,23.2
Koli D3 7.000UI com 10 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916514064,32.3,20.73,11.569999999999997,35.8
Koli D3 50.000ui com 4 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512145,85.0,64.03,20.97,24.7
Koli D3 7.000ui com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916514071,78.89,55.53,23.36,29.6
Restitue 40mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916514637,126.52,104.47,22.049999999999997,17.4
Bupium XL 300mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916513180,182.18,154.85,27.330000000000013,15.0
Osteoform 70mg com 8 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916503983,154.71,123.9,30.810000000000002,19.9
"Bramicar HCT 80/12,5mg com 60 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916513135,205.38,156.87,48.50999999999999,23.6
Brasart BCC 320 + 5mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509299,216.63,175.72,40.91,18.9
Enavo ODT 4mg com 10 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916516303,30.77,26.15,4.620000000000001,15.0
Arpejo Gotas com 30ml - Sigma Pharma,SIGMA PHARMA RX,7894916517829,461.92,353.53,108.39000000000004,23.5
Enavo ODT 8mg com 10 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916516310,56.97,48.42,8.549999999999997,15.0
Gaudy 24mg com 28 Cápsulas - Sigma Pharma,SIGMA PHARMA RX,7894916514736,269.35,188.79,80.56000000000003,29.9
Gaudy 16mg com 28 Cápsulas - Sigma Pharma,SIGMA PHARMA RX,7894916514729,244.87,165.0,79.87,32.6
Patz SL 5mg com 20 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916515559,98.14,83.42,14.719999999999999,15.0
Bexai 35mg com 20 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916514903,139.29,118.4,20.889999999999986,15.0
"Bramicar HCT 40/12,5mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916510004,119.98,87.74,32.24000000000001,26.9
"Bramicar HCT 80/12,5mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916510011,119.98,89.57,30.41000000000001,25.3
Subtrax 800mg + 160mg com 10 Comprimidos - Eurofarma,EUROFARMA RX,7891317005191,26.29,24.71,1.5799999999999983,6.0
Astro 500mg com 5 Comprimidos - Eurofarma,EUROFARMA RX,7891317420840,41.32,36.36,4.960000000000001,12.0
Astro 600mg com 1 Frasco com pó para Suspensão de Uso Oral + 1 Flaconete - Eurofarma,EUROFARMA RX,7891317412692,55.24,48.61,6.630000000000003,12.0
Astro 500mg com 3 Comprimidos - Eurofarma,EUROFARMA RX,7891317412708,24.8,21.82,2.9800000000000004,12.0
"Astro 900mg Sspensão de Uso Oral  22,5ml - Eurofarma",EUROFARMA RX,7891317436148,78.67,69.23,9.439999999999998,12.0
Trok G Pomada 30g - Eurofarma,EUROFARMA RX,7891317452933,33.03,31.05,1.9800000000000004,6.0
Tamiram 500mg com 10 Comprimidos - Eurofarma,EUROFARMA RX,7891317003739,175.96,154.84,21.120000000000005,12.0
Tamiram 500mg com 7 Comprimidos - Eurofarma,EUROFARMA RX,7891317003715,123.22,108.43,14.789999999999992,12.0
Trok G Creme 30g - Eurofarma,EUROFARMA RX,7891317452650,33.03,31.05,1.9800000000000004,6.0
Sinot Clav 875 +125mg com 14 Comprimidos - Eurofarma,EUROFARMA RX,7891317421748,120.55,106.08,14.469999999999999,12.0
Sinot Clav 875 + 125mg com 20 Comprimidos - Eurofarma,EUROFARMA RX,7891317421755,166.02,146.1,19.920000000000016,12.0
Sinot Clav 457mg/5ml Suspensão 70ml - Eurofarma,EUROFARMA RX,7891317469238,82.92,72.97,9.950000000000003,12.0
Sinot 400mg/5ml Suspensão 100ml - Eurofarma,EUROFARMA RX,7891317435462,41.29,38.81,2.479999999999997,6.0
Sinot 875mg com 14 Comprimidos - Eurofarma,EUROFARMA RX,7891317435431,57.51,54.06,3.4499999999999957,6.0
Astro 500mg com 2 Comprimidos - Eurofarma,EUROFARMA RX,7891317420833,16.53,14.55,1.9800000000000004,12.0
Astro 1500mg Suspensão de Uso Oral - Eurofarma,EUROFARMA RX,7891317451752,78.67,69.23,9.439999999999998,12.0
Tamiram 750mg com 5 Comprimidos - Eurofarma,EUROFARMA RX,7891317485313,127.28,112.01,15.269999999999996,12.0
Praiva 400mg com 7 Comprimidos - Eurofarma,EUROFARMA RX,7891317124458,219.48,188.75,30.72999999999999,14.0
Foritus 500mg com 14 Comprimidos - Eurofarma,EUROFARMA RX,7891317191658,55.24,51.93,3.3100000000000023,6.0
Tamiram 750mg com 7 Comprimidos - Eurofarma,EUROFARMA RX,7891317485320,178.28,156.89,21.390000000000015,12.0
Praiva 400mg com 5 Comprimidos - Eurofarma,EUROFARMA RX,7891317124465,165.19,142.06,23.129999999999995,14.0
Lemont 10mg + 5mg com 14 Comprimidos - Eurofarma,EUROFARMA RX,7891317017521,123.49,97.21,26.28,21.3
Carbolitium 300mg com 90 Comprimidos - Eurofarma,EUROFARMA RX,7891317013615,80.69,62.89,17.799999999999997,22.1
Alta D 15000UI com 10 Cápsulas - Eurofarma,EUROFARMA RX,7891317026011,118.46,100.69,17.769999999999996,15.0
Motraz 100mg com 30 Comprimidos - Eurofarma,EUROFARMA RX,7899640809684,64.08,49.21,14.869999999999997,23.2
MELOCOX ODT 15MG C/10 COMP,EUROFARMA RX,7891317011598,45.95,40.44,5.510000000000005,12.0
VORIC 10MG C/10 COMP SUBL,EUROFARMA RX,7891317028824,33.23,26.56,6.669999999999998,20.1
VORIC 10MG C/20 COMP SUBL,EUROFARMA RX,7891317028831,66.45,55.29,11.160000000000004,16.8
Motraz 50mg com 60 Comprimidos - Eurofarma,EUROFARMA RX,7899640809677,64.08,49.45,14.629999999999995,22.8
Lemont 10mg + 5mg com 7 Comprimidos - Eurofarma,EUROFARMA RX,7891317017514,61.74,48.75,12.990000000000002,21.0
