"dt_ini","dt_fin","id_cnpj","reg","uf","vl_or","cod_rec","id_importation","id_tenant","dt_created","dt_updated","year","month","day","hour","minute","rown"
"01/04/2023","30/04/2023","09017661000609",E300,RN,1065.85,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000609",E300,RJ,14656.259999999993,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/03/2023","31/03/2023","09017661000528",E300,MS,1253.77,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2022","30/09/2022","09017661000609",E300,AM,1702.3999999999999,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/01/2023","31/01/2023","09017661000528",E300,PA,268.49,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000609",E300,AL,1142.5300000000002,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000609",E300,SC,4492.94,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/11/2023","30/11/2023","09017661000609",E300,PR,28870.38,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/11/2023","30/11/2023","09017661000609",E300,SC,10495.459999999995,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/12/2023","31/12/2023","09017661000870",E300,MG,111.81,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/03/2023","31/03/2023","09017661000528",E300,RS,1111.59,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/04/2023","30/04/2023","09017661000447",E300,MS,289.0,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000609",E300,PR,10533.759999999993,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2022","30/09/2022","09017661000609",E300,MT,2371.01,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/11/2023","30/11/2023","09017661000528",E300,RS,98.50999999999999,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/11/2022","30/11/2022","09017661000609",E300,PA,1578.49,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/08/2023","31/08/2023","09017661000609",E300,DF,11238.92,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/01/2023","31/01/2023","09017661000609",E300,AL,129.93,"100129","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/01/2023","31/01/2023","09017661000609",E300,AC,39.02,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/01/2023","31/01/2023","09017661000609",E300,SE,1305.9500000000003,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/11/2023","30/11/2023","09017661000609",E300,PI,7609.580000000001,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/11/2023","30/11/2023","09017661000951",E300,SP,19.8,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2022","31/10/2022","09017661000609",E300,AL,3.88,"100129","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000609",E300,PB,839.2199999999999,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000609",E300,TO,559.46,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000609",E300,AM,2063.3299999999995,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/03/2023","31/03/2023","09017661000528",E300,PB,253.4,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000609",E300,SE,2162.0099999999998,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/07/2023","31/07/2023","09017661000366",E300,PA,173.4,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/03/2023","31/03/2023","09017661000528",E300,MT,353.26,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000609",E300,GO,8654.209999999997,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2022","30/09/2022","09017661000609",E300,MS,5692.760000000001,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2022","30/09/2022","09017661000609",E300,RN,985.58,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/01/2023","31/01/2023","09017661000528",E300,TO,225.48,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/03/2023","31/03/2023","09017661000528",E300,MG,903.39,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2022","30/09/2022","09017661000609",E300,RJ,7509.3600000000015,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/01/2023","31/01/2023","09017661000528",E300,DF,2725.7200000000003,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2022","30/09/2022","09017661000609",E300,PB,1470.16,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000951",E300,GO,47.85,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000528",E300,BA,129.48,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000609",E300,TO,988.4599999999999,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/07/2023","31/07/2023","09017661000609",E300,AM,3424.76,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000609",E300,BA,7126.4400000000005,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661000609",E300,MT,5583.329999999999,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/07/2023","31/07/2023","09017661000609",E300,ES,5582.340000000002,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/08/2023","31/08/2023","09017661000609",E300,AL,2111.6600000000003,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/07/2023","31/07/2023","09017661000366",E300,PR,49.35,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/06/2023","30/06/2023","09017661000609",E300,RO,1221.97,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/03/2023","31/03/2023","09017661000285",E300,RJ,17.8,"100129","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2022","30/09/2022","09017661000609",E300,PI,969.19,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/07/2023","31/07/2023","09017661000609",E300,RS,8524.770000000002,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000528",E300,RS,74.98,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/10/2023","31/10/2023","09017661001095",E300,AM,133.98,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000609",E300,SE,2917.5299999999997,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/05/2023","31/05/2023","09017661000528",E300,RJ,142.20999999999998,"100129","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"01/09/2023","30/09/2023","09017661000790",E300,SC,107.76,"100102","6601c26ae4d1f54a569c6d53",paulatorres,"2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
