"cnpj","filial","competencia","notas_totais","notas_faltantes","porcentagem_faltante"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",416,269,"64.66%"
"09017661001257",TORRES COMERCIO DE CALCADOS LTDA,"12/2023",306,225,"73.53%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",2208,0,"0.00%"
"09017661000366",Torres Comercio de Calcados - Eireli,"04/2023",177,119,"67.23%"
"09017661000366",Torres Comercio de Calcados - Eireli,"12/2023",261,165,"63.22%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",184,78,"42.39%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",336,147,"43.75%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",504,325,"64.48%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",2644,2644,"100.00%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",512,420,"82.03%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"11/2022",100,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",307,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"05/2023",9,0,"0.00%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",300,0,"0.00%"
"09017661000366",Torres Comercio de Calcados - Eireli,"06/2023",175,128,"73.14%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",297,129,"43.43%"
"09017661000366",Torres Comercio de Calcados - Eireli,"11/2023",243,144,"59.26%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",2438,0,"0.00%"
"09017661001257",TORRES COMERCIO DE CALCADOS LTDA,"10/2023",43,0,"0.00%"
"09017661001176",Torres Comercio de Calcados Ltda,"10/2023",141,75,"53.19%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"10/2023",149,0,"0.00%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",678,482,"71.09%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",479,353,"73.70%"
"09017661000366",Torres Comercio de Calcados - Eireli,"08/2023",187,108,"57.75%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"04/2023",156,88,"56.41%"
"09017661001176",Torres Comercio de Calcados Ltda,"11/2023",291,150,"51.55%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"07/2023",8,0,"0.00%"
