"id_cnpj","reg","dt_ini","dt_fin","vl_tot_debitos","vl_tot_debitos_sped","diff_total_debito","vl_aj_debitos","vl_tot_aj_debitos","vl_estornos_cred","total_ajuste_debitos","vl_tot_creditos","vl_tot_creditos_sped","diff_tot_creditos","vl_aj_creditos","vl_tot_aj_creditos","vl_estornos_deb","total_ajuste_creditos","vl_sld_credor_ant_sped","vl_sld_credor_ant","diff_sld_credor_ant","vl_tot_ded","deb_esp","vl_apurado_no_periodo","apuracao_icms","id_importation","dt_created","dt_updated","year","month","day","hour","minute","rown"
"35068230000258",E100,"01/09/2022","30/09/2022",727081.3299999967,"727081,33",0.000000003259629,"0",2332.72,0.0,2332.72,70079.31999999967,"70079,32",0.0000000003346941,"0",0.0,590352.83,590352.83,"0","68981.90",1097.4199999999837,"0","0",68981.90000000002,68981.90000000002,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000258",E100,"01/10/2023","31/10/2023",600843.9399999994,"600843,94",0.0000000005820766,"0",852.23,1927.71,2779.94,67489.26999999997,"67489,27",0.0000000000291038,"0",0.0,479129.54,479129.54,"0","57005.07",10484.200000000114,"0","0",57005.06999999989,57005.06999999989,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001176",E100,"01/09/2023","30/09/2023",0.0,"0",0.0,"0",44039.97,0.0,44039.97,33818.05999999998,"33818,06",0.0000000000145519,"0",0.0,0.0,0.0,"51953,91",-41732.00,75550.06,"0","0",10221.910000000003,-41732.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000609",E100,"01/10/2022","31/10/2022",196125.03000000012,"196115,45",-9.58000000010361,"0",211445.58,0.0,211445.58,473660.6400000006,"473660,64",-0.0000000005820766,"0",0.0,0.0,0.0,"223977,98",-290077.59,763738.23,"0","0",-66099.60999999999,-290077.58999999997,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000258",E100,"01/10/2022","31/10/2022",520617.45000000007,"520617,45",-0.0000000000582077,"0",1670.31,2141.02,3811.33,106099.4600000002,"106099,46",-0.0000000001891749,"0",0.0,368935.73,368935.73,"0","49393.59",56705.86999999998,"0","0",49393.590000000026,49393.590000000026,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000339",E100,"01/03/2023","31/03/2023",0.0,"0,00",0.0,"0,00",0.0,0.0,0.0,110.94,"110,94",0.0,"0,00",0.0,0.0,0.0,"792,26",-903.20,1014.1400000000001,"0,00","0,00",-110.94,-903.2,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000177",E100,"01/08/2023","31/08/2023",0.0,"0,00",0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",0.0,0.0,0.0,"0,00","0.00",0.0,"0,00","0,00",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000609",E100,"01/04/2023","30/04/2023",320640.6000000007,"320640,6",-0.0000000006984919,"0",18573.33,0.0,18573.33,297333.48000000056,"297333,48",-0.0000000005820766,"0",0.0,0.0,0.0,"453858,45",-411978.00,709311.48,"0","0",41880.45000000001,-411978.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001176",E100,"01/07/2023","31/07/2023",0.0,"0",0.0,"0",0.0,0.0,0.0,0.0,"0",0.0,"0",0.0,0.0,0.0,"0","0.00",0.0,"0","0",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000366",E100,"01/06/2023","30/06/2023",49680.629999999976,"49680,63",0.0000000000218279,"0,00",0.0,0.0,0.0,36757.790000000015,"36757,79",-0.0000000000145519,"0,00",0.0,0.0,0.0,"16094,63",-3171.79,39929.58,"0,00","0,00",12922.839999999997,-3171.7900000000027,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
